Brand;Model;Generation;Version
Audi; A5; I(2007-2016); S5Coupe(2007-2011)
Audi; A5; I(2007-2016); Coupe(2007-2011)
Audi; A6; C8(2018-teraz); LimousinePlug-In(2021-teraz)
Audi; A6; C8(2018-teraz); AvantPlugIn(2021-teraz)
Audi; A6; C8(2018-teraz); RS6Avant(2019-teraz)
Audi; A6; C8(2018-teraz); S6Limousine(2019-teraz)
Audi; A6; C8(2018-teraz); S6Avant(2019-teraz)
Audi; A6; C8(2018-teraz); Allroad(2019-teraz)
Audi; A6; C8(2018-teraz); Limousine(2018-teraz)
Audi; A6; C8(2018-teraz); Avant(2018-teraz)
Audi; A6; C7(2011-2017); S6AvantFacelifting(2015-2017)
Audi; A6; C7(2011-2017); S6LimousineFacelifting(2015-2017)
Audi; A6; C7(2011-2017); AvantFacelifting(2014-2017)
Audi; A6; C7(2011-2017); LimousineFacelifting(2014-2017)
Audi; A6; C7(2011-2017); RS6AvantFacelifting(2014-2017)
Audi; A6; C7(2011-2017); Allroadquattrofacelifting(2014-2017)
Audi; A6; C7(2011-2017); S6Avant(2013-2014)
Audi; A6; C7(2011-2017); S6Limousine(2013-2014)
Audi; A6; C7(2011-2017); RS6Avant(2012-2014)
Audi; A6; C7(2011-2017); Allroadquattro(2012-2014)
Audi; A6; C7(2011-2017); Avant(2011-2014)
Audi; A6; C7(2011-2017); Limousine(2011-2014)
Audi; A6; C6(2004-2011); RS6(2007-2010)
Audi; A6; C6(2004-2011); S6Avant(2006-2011)
Audi; A6; C6(2004-2011); S6Limousine(2006-2011)
Audi; A6; C6(2004-2011); Allroadquattro(2006-2011)
Audi; A6; C6(2004-2011); Limousine(2004-2011)
Audi; A6; C6(2004-2011); Avant(2004-2011)
Audi; A6; C5(1997-2005); RS6Avant(2002-2004)
Audi; A6; C5(1997-2005); RS6Sedan(2002-2004)
Audi; A6; C5(1997-2005); S6Sedan(2000-2004)
Audi; A6; C5(1997-2005); S6Avant(1999-2004)
Audi; A6; C5(1997-2005); Sedan(1997-2004)
Audi; A6; C5(1997-2005); Avant(1997-2005)
Audi; A6; C4(1994-1997); S6Avant(1994-1997)
Audi; A6; C4(1994-1997); S6Sedan(1994-1997)
Audi; A6; C4(1994-1997); Sedan(1994-1997)
Audi; A6; C4(1994-1997); Avant(1994-1997)
Audi; A7; II(2017-teraz); Sportback-e(2019-teraz)
Audi; A7; II(2017-teraz); RS7Sportback(2019-teraz)
Audi; A7; II(2017-teraz); S7Sportback(2019-teraz)
Audi; A7; II(2017-teraz); Sportback(2017-teraz)
Audi; A7; I(2010-2017); S7SportbackFacelifting(2014-2017)
Audi; A7; I(2010-2017); RS7SportbackFacelifting(2014-2017)
Audi; A7; I(2010-2017); A7SportbackFacelifting(2014-2017)
Audi; A7; I(2010-2017); RS7Sportback(2013-2014)
Audi; A7; I(2010-2017); S7Sportback(2012-2014)
Audi; A7; I(2010-2017); A7Sportback(2010-2014)
Audi; A8; D5(2017-teraz); SedanPlug-InFacelifting(2022-teraz)
Audi; A8; D5(2017-teraz); SedanLongPlug-InFacelifting(2022-teraz)
Audi; A8; D5(2017-teraz); SedanFacelifting(2021-teraz)
Audi; A8; D5(2017-teraz); SedanLongFacelifting(2021-teraz)
Audi; A8; D5(2017-teraz); S8Facelifting(2021-teraz)
Audi; A8; D5(2017-teraz); Sedan-e(2020-2021)
Audi; A8; D5(2017-teraz); Lang-e(2020-2021)
Audi; A8; D5(2017-teraz); S8(2019-2021)
Audi; A8; D5(2017-teraz); Sedan(2017-2021)
Audi; A8; D5(2017-teraz); Lang(2017-2021)
Audi; A8; D4(2010-2017); S8Facelifting(2015-2017)
Audi; A8; D4(2010-2017); W12LangFacelifting(2015-2017)
Audi; A8; D4(2010-2017); W12Lang(2014-2015)
Audi; A8; D4(2010-2017); LangFacelifting(2013-2017)
Audi; A8; D4(2010-2017); S8(2012-2013)
Audi; A8; D4(2010-2017); SedanFacelifting(2012-2017)
Audi; A8; D4(2010-2017); Sedan(2010-2013)
Audi; A8; D4(2010-2017); Lang(2010-2013)
Audi; A8; D3(2002-2010); S8Sedan(2006-2010)
Audi; A8; D3(2002-2010); Sedan(2002-2010)
Audi; A8; D3(2002-2010); Long(2002-2010)
Audi; A8; D2(1994-2002); Long(1998-2002)
Audi; A8; D2(1994-2002); S8Sedan(1996-2002)
Audi; A8; D2(1994-2002); Sedan(1994-2002)
Audi; E-tron; PlaceholderGen; GrandTourer(2021-teraz)
Audi; E-tron; PlaceholderGen; GrandTourerRS(2021-teraz)
Audi; E-tron; PlaceholderGen; SUV-S(2020-2022)
Audi; E-tron; PlaceholderGen; Sportback-S(2020-2022)
Audi; E-tron; PlaceholderGen; Sportback(2020-2022)
Audi; E-tron; PlaceholderGen; SUV(2019-2022)
Audi; Q2; PlaceholderGen; SUVFacelifting(2020-teraz)
Audi; Q2; PlaceholderGen; SUV(2016-2020)
Audi; Q3; II(2018-teraz); SUV-e(2021-teraz)
Audi; Q3; II(2018-teraz); Sportback-e(2021-teraz)
Audi; Q3; II(2018-teraz); Sportback(2019-teraz)
Audi; Q3; II(2018-teraz); RSQ3(2019-teraz)
Audi; Q3; II(2018-teraz); RSQ3Sportback(2019-teraz)
Audi; Q3; II(2018-teraz); SUV(2018-teraz)
Audi; Q3; I(2011-2018); SUVFacelifting(2015-2018)
Audi; Q3; I(2011-2018); RSQ3Facelifting(2015-2017)
Audi; Q3; I(2011-2018); RSQ3(2013-2014)
Audi; Q3; I(2011-2018); SUV(2011-2015)
Audi; Q4; PlaceholderGen; e-tron(2021-teraz)
Audi; Q4; PlaceholderGen; e-tronSportback(2021-teraz)
Audi; Q5; II(2017-teraz); Q5-eFacelifting(2021-teraz)
Audi; Q5; II(2017-teraz); Q5-eSportback(2021-teraz)
Audi; Q5; II(2017-teraz); SUVFacelifting(2020-teraz)
Audi; Q5; II(2017-teraz); Q5Sportback(2020-teraz)
Audi; Q5; II(2017-teraz); SQ5Sportback(2020-teraz)
Audi; Q5; II(2017-teraz); SQ5Facelifting(2020-teraz)
Audi; Q5; II(2017-teraz); Q5-e(2019-2021)
Audi; Q5; II(2017-teraz); SQ5(2017-2020)
Audi; Q5; II(2017-teraz); SUV(2017-2020)
Audi; Q5; I(2008-2016); SQ5(2013-2016)
Audi; Q5; I(2008-2016); SUVFacelifting(2012-2016)
Audi; Q5; I(2008-2016); SUV(2008-2012)
Audi; Q7; II(2015-teraz); SUVFacelifting2024(2024-teraz)
Audi; Q7; II(2015-teraz); SQ7Facelifting2024(2024-teraz)
Audi; Q7; II(2015-teraz); Q7-e(2020-teraz)
Audi; Q7; II(2015-teraz); SUVFacelifting(2019-teraz)
Audi; Q7; II(2015-teraz); SQ7Facelifting(2019-teraz)
Audi; Q7; II(2015-teraz); SQ7(2016-2019)
Audi; Q7; II(2015-teraz); e-tron(2016-2019)
Audi; Q7; II(2015-teraz); SUV(2015-2019)
Audi; Q7; I(2005-2015); SUVFacelifting(2009-2015)
Audi; Q7; I(2005-2015); SUVFaceliftingV12TDIquattro(2009-2011)
Audi; Q7; I(2005-2015); SUV(2005-2009)
Audi; Q8; PlaceholderGen; e-tron(2023-teraz)
Audi; Q8; PlaceholderGen; e-tronSportback(2023-teraz)
Audi; Q8; PlaceholderGen; SUVFacelifting(2023-teraz)
Audi; Q8; PlaceholderGen; SQ8Facelifting(2023-teraz)
Audi; Q8; PlaceholderGen; e-tronFacelifting(2023-teraz)
Audi; Q8; PlaceholderGen; SQ8e-tron(2023-teraz)
Audi; Q8; PlaceholderGen; SQ8e-tronSportback(2023-teraz)
Audi; Q8; PlaceholderGen; Q8-e(2020-teraz)
Audi; Q8; PlaceholderGen; SQ8(2019-teraz)
Audi; Q8; PlaceholderGen; RSQ8(2019-teraz)
Audi; Q8; PlaceholderGen; SUV(2018-teraz)
Audi; R8; II(2015-teraz); CoupeFacelifting(2019-teraz)
Audi; R8; II(2015-teraz); SpyderFacelifting(2019-teraz)
Audi; R8; II(2015-teraz); Spyder(2015-2018)
Audi; R8; II(2015-teraz); Coupe(2015-2018)
Audi; R8; I(2006-2015); CoupeFacelifting(2012-2015)
Audi; R8; I(2006-2015); SpyderFacelifting(2012-2015)
Audi; R8; I(2006-2015); Spyder(2009-2015)
Audi; R8; I(2006-2015); Coupe(2006-2015)
Audi; TT; 8S(2014-2024); CoupeFacelifting(2022-2024)
Audi; TT; 8S(2014-2024); CoupeSFacelifting(2022-2024)
Audi; TT; 8S(2014-2024); RSCoupe(2016-2018)
Audi; TT; 8S(2014-2024); CoupeTTS(2015-2018)
Audi; TT; 8S(2014-2024); RoadsterTTS(2015-2016)
Audi; TT; 8S(2014-2024); Coupe(2014-2018)
Audi; TT; 8S(2014-2024); Roadster(2014-2016)
Audi; TT; 8J(2006-2013); CoupeFacelifting(2010-2013)
Audi; TT; 8J(2006-2013); RoadsterFacelifting(2010-2013)
Audi; TT; 8J(2006-2013); Coupe(2006-2010)
Audi; TT; 8J(2006-2013); Roadster(2006-2010)
Audi; TT; 8N(1998-2006); Roadster(1999-2006)
Audi; TT; 8N(1998-2006); Coupe(1998-2006)
Audi;100; C4(1990-1994); S4(1991-1994)
Audi;100; C4(1990-1994); Avant(1990-1994)
Audi;100; C4(1990-1994); Sedan(1990-1994)
Audi;100; C3(1982-1991); Sedan(1982-1991)
Audi;100; C3(1982-1991); Avant(1982-1990)
Audi;100; C2(1976-1983); Hatchback(1977-1983)
Audi;100; C2(1976-1983); Sedan(1976-1983)
Audi;100; C1(1968-1976); Coupe(1970-1976)
Audi;100; C1(1968-1976); Sedan(1968-1976)
Audi;200; C3(1983-1991); Sedan(1983-1991)
Audi;200; C3(1983-1991); Avant(1983-1991)
Audi;200; C2(1979-1982);
Audi;5000; C3(1983-1992);
Audi;5000; C2(1978-1982);
Audi;80; B4(1990-2000); RS2(1993-1996)
Audi;80; B4(1990-2000); Avant(1991-1996)
Audi;80; B4(1990-2000); Sedan(1991-1996)
Audi;80; B4(1990-2000); Cabrio(1991-2000)
Audi;80; B4(1990-2000); Coupe(1991-1996)
Audi;80; B4(1990-2000); S2Avant(1990-1995)
Audi;80; B4(1990-2000); S2Coupe(1990-1995)
Audi;80; B4(1990-2000); S2Sedan(1990-1995)
Audi;80; B3(1986-1996); Coupe(1988-1996)
Audi;80; B3(1986-1996); Sedan(1986-1991)
Audi;80; B2(1978-1988); Sedan(1978-1986)
Audi;80; B2(1978-1988); Coupe(1978-1988)
Audi;80; B1(1972-1978); TYP82(1976-1978)
Audi;80; B1(1972-1978); TYP80(1972-1976)
Audi;90; B3(1987-1991);
Audi;90; B2(1984-1987);
Audi; A2; PlaceholderGen;
Audi; Allroad; C6(2006-2011);
Audi; Allroad; C5(2000-2005);
Audi; Quattro; PlaceholderGen;
Audi; S1 (1984); PlaceholderGen;
Audi; V8; PlaceholderGen;
BAIC; Beijing 3; PlaceholderGen;
BAIC; Beijing 5; PlaceholderGen;
BAIC; Beijing 7; PlaceholderGen;
Bentley; Continental; III(2018-teraz);
Bentley; Continental; II(2011-2018); GTFacelifting(2015-2018)
Bentley; Continental; II(2011-2018); GT(2011-2015)
Bentley; Continental; I(1991-teraz); Supersports(2010-teraz)
Bentley; Continental; I(1991-teraz); SupersportsConvertible(2010-teraz)
Bentley; Continental; I(1991-teraz); GTC(2006-teraz)
Bentley; Continental; I(1991-teraz); FlyingSpur(2005-2010)
Bentley; Continental; I(1991-teraz); GT(2003-2010)
Bentley; Continental; I(1991-teraz); T(1996-2000)
Bentley; Continental; I(1991-teraz); S(1994-1995)
Bentley; Continental; I(1991-teraz); R(1991-2002)
Bentley; Continental; I(1991-teraz); RAzure(1991-2002)
Bentley; Arnage; II(T)(2002-2011); RL(2003-2011)
Bentley; Arnage; II(T)(2002-2011); R(2002-2011)
Bentley; Arnage; II(T)(2002-2011); T(2002-2011)
Bentley; Arnage; I(R)(1998-2001); T(1999-2001)
Bentley; Arnage; I(R)(1998-2001); Sedan(1998-2001)
Bentley; Azure; PlaceholderGen;
Bentley; Bentayga; PlaceholderGen;
Bentley; Brooklands; II(2008-2011);
Bentley; Brooklands; I(1992-1997);
Bentley; Mulsanne; PlaceholderGen;
BMW; i4; PlaceholderGen; MGranCoupe(2021-teraz)
BMW; i4; PlaceholderGen; GranCoupe(2021-teraz)
BMW; i5; PlaceholderGen; Touring(2024-teraz)
BMW; i5; PlaceholderGen; TouringM(2024-teraz)
BMW; i5; PlaceholderGen; Limuzyna(2023-teraz)
BMW; i5; PlaceholderGen; LimuzynaM(2023-teraz)
BMW; i7; PlaceholderGen; LimuzynaM(2023-teraz)
BMW; i7; PlaceholderGen; Limuzyna(2022-teraz)
BMW; iX; PlaceholderGen; SUVM(2022-teraz)
BMW; iX; PlaceholderGen; SUV(2021-teraz)
BMW; iX1; PlaceholderGen;
BMW; iX2; PlaceholderGen;
BMW; iX3; PlaceholderGen;
BMW; Seria 1; F40(2019-teraz); Hatchback(2019-teraz)
BMW; Seria 1; F40(2019-teraz); HatchbackM(2019-teraz)
BMW; Seria 1; F20-F21(2011-2019); Hatchback3dFacelifting2017(2017-2019)
BMW; Seria 1; F20-F21(2011-2019); Hatchback5dFacelifting2017(2017-2019)
BMW; Seria 1; F20-F21(2011-2019); M-Hatchback3dFacelifting2017(2017-2019)
BMW; Seria 1; F20-F21(2011-2019); M-Hatchback5dFacelifting2017(2017-2019)
BMW; Seria 1; F20-F21(2011-2019); Hatchback5dFacelifting2015(2015-2017)
BMW; Seria 1; F20-F21(2011-2019); Hatchback3dFacelifting2015(2015-2017)
BMW; Seria 1; F20-F21(2011-2019); Hatchback3d(2012-2015)
BMW; Seria 1; F20-F21(2011-2019); Hatchback5d(2011-2015)
BMW; Seria 1; E81/E87(2004-2013); MCoupe(2011-2013)
BMW; Seria 1; E81/E87(2004-2013); CabrioE88(2007-2013)
BMW; Seria 1; E81/E87(2004-2013); CoupeE82(2007-2013)
BMW; Seria 1; E81/E87(2004-2013); Hatchback3dE81(2007-2011)
BMW; Seria 1; E81/E87(2004-2013); Hatchback5dE87(2004-2011)
BMW; Seria 2; G42-U06(2020-teraz); MCoupe(2022-teraz)
BMW; Seria 2; G42-U06(2020-teraz); ActiveTourerPlug-In(2022-teraz)
BMW; Seria 2; G42-U06(2020-teraz); ActiveTourer(2021-teraz)
BMW; Seria 2; G42-U06(2020-teraz); Coupe(2021-teraz)
BMW; Seria 2; G42-U06(2020-teraz); GranCoupe(2020-teraz)
BMW; Seria 2; G42-U06(2020-teraz); MGranCoupe(2020-teraz)
BMW; Seria 2; G42-U06(2020-teraz); MCoupeCS(2020-2021)
BMW; Seria 2; F22-F23-F45-F46(2013-2021); ActiveTourerFacelifting(2018-2021)
BMW; Seria 2; F22-F23-F45-F46(2013-2021); GranTourerFacelifting(2018-2021)
BMW; Seria 2; F22-F23-F45-F46(2013-2021); CoupeFacelifting(2017-2021)
BMW; Seria 2; F22-F23-F45-F46(2013-2021); CabrioFacelifting(2017-2021)
BMW; Seria 2; F22-F23-F45-F46(2013-2021); M-CoupeFacelifting(2017-2021)
BMW; Seria 2; F22-F23-F45-F46(2013-2021); M-CabrioFacelifting(2017-2021)
BMW; Seria 2; F22-F23-F45-F46(2013-2021); GranTourer(2015-2017)
BMW; Seria 2; F22-F23-F45-F46(2013-2021); ActiveTourer(2014-2017)
BMW; Seria 2; F22-F23-F45-F46(2013-2021); Cabrio(2014-2017)
